indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,white,black,hispanic,asian,white_a,black_a,hispanic_a,asian_a
poverty,Boston,0.204,0.187,0.169,0.233,0.232,0.216,0.216,0.226,0.205,0.21,0.187,,0.215701002,0.134321671,0.215323288,72655,30579,16691,0.109,0.208,0.276,0.308,,,,
poverty,Chicago,0.205,0.206,0.216,0.225,0.237,0.239,0.23,0.22,0.209,0.191,0.186,,0.219665924,0.150106365,0.156859408,295088,149732,50691,0.103,0.3,0.171,0.167,,,,
poverty,Cleveland,0.295,0.305,0.35,0.34,0.343,0.361,0.369,0.392,0.347,0.35,0.331,,0.398214146,0.296665471,0.192894995,71399,43007,9828,0.197,0.394,0.396,0.381,,,,
poverty,Detroit,0.338,0.333,0.364,0.376,0.408,0.423,0.407,0.393,0.398,0.357,0.345,,0.401920754,0.314500394,0.218191315,133084,74630,20052,0.371,0.339,0.406,0.245,,,,
poverty,Houston,0.207,0.195,0.206,0.228,0.238,0.235,0.224,0.224,0.212,0.208,0.206,,0.254587516,0.155919205,0.133127037,308140,128781,32266,0.095,0.25,0.261,0.113,,,,
poverty,Philadelphia,0.238,0.241,0.25,0.267,0.284,0.269,0.263,0.26,0.258,0.257,0.257,,0.284510722,0.249656114,0.175253609,219978,139752,35934,0.194,0.271,0.382,0.236,,,,
poverty,Phoenix,0.178,0.189,0.211,0.225,0.229,0.241,0.236,0.233,0.223,0.203,0.168,,0.203844906,0.134988851,0.108420534,168424,81729,18702,0.099,0.235,0.227,0.074,,,,
poverty,Pittsburgh,0.21,0.212,0.231,0.267,0.238,0.211,0.227,0.238,0.23,0.192,0.202,,0.26284485,0.141458749,0.128310574,36900,13902,5741,0.129,0.348,0.255,0.308,,,,
poverty,Washington,0.164,0.172,0.184,0.192,0.187,0.182,0.189,0.177,0.173,0.186,0.166,,0.194748556,0.136037011,0.14185607,64928,33433,11559,0.062,0.258,0.131,0.15,,,,
deep_proverty,Baltimore,0.09434378,0.092415452,0.107804918,0.126700425,0.127862378,0.116893298,0.12520007,0.11974256,0.117032767,0.10409655,0.111532597,,N/A,N/A,N/A,N/A,N/A,N/A,0.066,0.131,0.191,0.104,,,,
