indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
pre_K,Philadelphia,0.484,0.489854273,0.554465999,0.503132302,0.519080003,0.483552781,0.44787715,0.459450372,0.479664589,0.51423542,,0.538,0.492,,0.49,0.44668453,0.414725098,0.557949698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Phoenix,0.308,0.282068724,0.29461702,0.320946566,0.26739458,0.309234396,0.296077577,0.282495667,0.328861633,0.353061017,0.380037895,0.33,0.354,,0.34,0.288621712,0.391636894,0.343175406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Pittsburgh,0.61,0.548649071,0.583457249,0.661180124,0.602423061,0.457780342,0.573007563,0.663909774,0.398438886,0.503950695,0.512323612,0.615,0.448,,0.29,0.404403244,0.555317439,0.579946285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pre_K,Washington,0.678,0.736024632,0.588951493,0.739093533,0.745657568,0.783919267,0.784976397,0.863601978,0.745537386,0.777107728,0.73214683,0.781,0.856,,0.85,0.78587385,0.901382551,0.77346676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Baltimore,0.553503858,0.539796112,0.597693377,0.546152127,0.571938705,0.531803406,0.564397623,0.550147994,0.535416242,0.48941307,0.512678502,0.494,0.519246363,,0.524,0.501767923,0.518303235,0.508691601,0.504513147,0.467110218,0.606226883,23140,29768,14915,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Boston,0.509436331,0.50187427,0.49769944,0.518830971,0.537377225,0.505887489,0.515173283,0.524124864,0.541153422,0.50465883,0.506231902,0.502,0.48863193,,0.492,0.506995974,0.479110957,0.499016133,0.460580699,0.477852349,0.577136076,35771,36668,16049,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Chicago,0.526569475,0.518546729,0.54567425,0.549046933,0.548756589,0.523040378,0.510153272,0.532245031,0.5101477,0.493041523,0.489223405,0.486,0.465080417,,0.464,0.485647652,0.436915685,0.468129197,0.415698688,0.445681015,0.595979261,104929,124464,56326,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Cleveland,0.52714231,0.59339138,0.575849569,0.590692749,0.589317331,0.587191501,0.588146725,0.588010893,0.524322865,0.548643001,0.527778971,0.513,0.488922331,,0.467,0.466667983,0.514410335,0.491384162,0.476272478,0.458709114,0.549758706,16871,22074,8430,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Detroit,0.628408514,0.661586663,0.679320448,0.697551246,0.69323511,0.671789791,0.661132804,0.653086574,0.643521827,0.624048434,0.587642768,0.569,0.564197877,,0.541,0.539530203,0.523704455,0.547908725,0.545860838,0.520020154,0.59323128,21252,35092,12866,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Houston,0.50358012,0.472100258,0.502488644,0.496782573,0.504693364,0.499100652,0.477736454,0.496849656,0.504468574,0.516153928,0.496691645,0.501,0.511712183,,0.506,0.502524695,0.513688696,0.54296431,0.506681425,0.495365802,0.623136777,107116,130517,39882,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Philadelphia,0.539171919,0.541423933,0.550979976,0.588729701,0.581224033,0.569367787,0.575993762,0.574711786,0.563684217,0.533514851,,0.539,0.547390997,,0.489,0.486229647,0.485237542,0.505000325,0.470252532,0.473152784,0.572835437,62624,68416,28502,NA,NA,NA,NA,NA,NA,NA,NA
